GA Hiperparametri (C++):
  Velicina populacije: 200000
  Broj generacija: 200
  Velicina turnira: 15
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 0.15
  Elitizam: 10000
  Broj pokretanja: 2

  Pokretanje 1: 1999299 dinara  (1881.32s)
  Pokretanje 2: 1999707 dinara  (1676.25s)

  PROSEK:   1999503.0
  MEDIJANA: 1999503.0
  NAJBOLJI: 1999707
  NAJGORI:  1999299
  STDEV:    204.0
  UKUPNO VREME: 3557.6s
  PROSECNO VREME: 1778.8s

NAJBOLJI PO GENERACIJAMA

  Pokretanje 1:
    Gen    0: 999976
    Gen    1: 1160039
    Gen    2: 1314495
    Gen    3: 1444195
    Gen    4: 1575576
    Gen    5: 1673298
    Gen    6: 1745562
    Gen    7: 1801536
    Gen    8: 1840931
    Gen    9: 1866849
    Gen   10: 1888839
    Gen   11: 1903904
    Gen   12: 1918291
    Gen   13: 1929188
    Gen   14: 1934978
    Gen   15: 1940943
    Gen   16: 1945705
    Gen   17: 1950244
    Gen   18: 1954259
    Gen   19: 1956961
    Gen   20: 1958618
    Gen   21: 1961822
    Gen   22: 1965672
    Gen   23: 1966418
    Gen   24: 1968035
    Gen   25: 1969077
    Gen   26: 1971167
    Gen   27: 1973300
    Gen   28: 1975045
    Gen   29: 1976048
    Gen   30: 1976660
    Gen   31: 1978357
    Gen   32: 1978615
    Gen   33: 1979662
    Gen   34: 1980834
    Gen   35: 1982198
    Gen   36: 1982422
    Gen   37: 1982652
    Gen   38: 1983033
    Gen   39: 1983737
    Gen   40: 1984830
    Gen   41: 1984983
    Gen   42: 1985886
    Gen   43: 1986721
    Gen   44: 1987642
    Gen   45: 1988887
    Gen   46: 1988887
    Gen   47: 1988955
    Gen   48: 1989717
    Gen   49: 1990087
    Gen   50: 1990752
    Gen   51: 1991321
    Gen   52: 1991912
    Gen   53: 1992294
    Gen   54: 1992595
    Gen   55: 1992779
    Gen   56: 1993370
    Gen   57: 1993702
    Gen   58: 1993816
    Gen   59: 1994126
    Gen   60: 1994354
    Gen   61: 1994824
    Gen   62: 1995220
    Gen   63: 1995372
    Gen   64: 1995521
    Gen   65: 1995720
    Gen   66: 1996037
    Gen   67: 1996260
    Gen   68: 1996292
    Gen   69: 1996548
    Gen   70: 1996686
    Gen   71: 1996877
    Gen   72: 1997128
    Gen   73: 1997414
    Gen   74: 1997414
    Gen   75: 1997495
    Gen   76: 1997498
    Gen   77: 1997610
    Gen   78: 1997830
    Gen   79: 1997830
    Gen   80: 1997883
    Gen   81: 1998019
    Gen   82: 1998044
    Gen   83: 1998101
    Gen   84: 1998218
    Gen   85: 1998250
    Gen   86: 1998370
    Gen   87: 1998430
    Gen   88: 1998498
    Gen   89: 1998544
    Gen   90: 1998558
    Gen   91: 1998628
    Gen   92: 1998702
    Gen   93: 1998737
    Gen   94: 1998808
    Gen   95: 1998850
    Gen   96: 1998874
    Gen   97: 1998915
    Gen   98: 1998936
    Gen   99: 1998940
    Gen  100: 1999005
    Gen  101: 1999005
    Gen  102: 1999036
    Gen  103: 1999042
    Gen  104: 1999070
    Gen  105: 1999087
    Gen  106: 1999111
    Gen  107: 1999117
    Gen  108: 1999132
    Gen  109: 1999142
    Gen  110: 1999158
    Gen  111: 1999159
    Gen  112: 1999173
    Gen  113: 1999184
    Gen  114: 1999189
    Gen  115: 1999207
    Gen  116: 1999221
    Gen  117: 1999225
    Gen  118: 1999243
    Gen  119: 1999247
    Gen  120: 1999250
    Gen  121: 1999260
    Gen  122: 1999270
    Gen  123: 1999278
    Gen  124: 1999278
    Gen  125: 1999297
    Gen  126: 1999297
    Gen  127: 1999297
    Gen  128: 1999297
    Gen  129: 1999298
    Gen  130: 1999299
    Gen  131: 1999299
    Gen  132: 1999299
    Gen  133: 1999299
    Gen  134: 1999299
    Gen  135: 1999299
    Gen  136: 1999299
    Gen  137: 1999299
    Gen  138: 1999299
    Gen  139: 1999299
    Gen  140: 1999299
    Gen  141: 1999299
    Gen  142: 1999299
    Gen  143: 1999299
    Gen  144: 1999299
    Gen  145: 1999299
    Gen  146: 1999299
    Gen  147: 1999299
    Gen  148: 1999299
    Gen  149: 1999299
    Gen  150: 1999299
    Gen  151: 1999299
    Gen  152: 1999299
    Gen  153: 1999299
    Gen  154: 1999299
    Gen  155: 1999299
    Gen  156: 1999299
    Gen  157: 1999299
    Gen  158: 1999299
    Gen  159: 1999299
