GA Hiperparametri (C++):
  Velicina populacije: 150000
  Broj generacija: 200
  Velicina turnira: 15
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 0.15
  Elitizam: 7500
  Broj pokretanja: 2

  Pokretanje 1: 1997491 dinara  (1379.19s)
  Pokretanje 2: 1997917 dinara  (1386.03s)

  PROSEK:   1997704.0
  MEDIJANA: 1997704.0
  NAJBOLJI: 1997917
  NAJGORI:  1997491
  STDEV:    213.0
  UKUPNO VREME: 2765.2s
  PROSECNO VREME: 1382.6s

NAJBOLJI PO GENERACIJAMA

  Pokretanje 1:
    Gen    0: 999318
    Gen    1: 1153237
    Gen    2: 1331328
    Gen    3: 1442795
    Gen    4: 1580344
    Gen    5: 1664520
    Gen    6: 1753237
    Gen    7: 1796343
    Gen    8: 1840159
    Gen    9: 1868222
    Gen   10: 1892875
    Gen   11: 1908097
    Gen   12: 1919085
    Gen   13: 1929656
    Gen   14: 1934051
    Gen   15: 1938665
    Gen   16: 1944159
    Gen   17: 1948365
    Gen   18: 1952116
    Gen   19: 1954304
    Gen   20: 1958120
    Gen   21: 1959963
    Gen   22: 1961851
    Gen   23: 1965863
    Gen   24: 1966414
    Gen   25: 1968474
    Gen   26: 1968904
    Gen   27: 1971590
    Gen   28: 1972072
    Gen   29: 1972785
    Gen   30: 1975776
    Gen   31: 1975776
    Gen   32: 1976596
    Gen   33: 1977376
    Gen   34: 1978487
    Gen   35: 1979066
    Gen   36: 1979720
    Gen   37: 1980501
    Gen   38: 1980860
    Gen   39: 1982176
    Gen   40: 1982347
    Gen   41: 1983003
    Gen   42: 1983184
    Gen   43: 1983941
    Gen   44: 1984347
    Gen   45: 1984816
    Gen   46: 1985917
    Gen   47: 1985948
    Gen   48: 1986631
    Gen   49: 1987229
    Gen   50: 1987783
    Gen   51: 1988133
    Gen   52: 1988517
    Gen   53: 1988981
    Gen   54: 1989171
    Gen   55: 1989814
    Gen   56: 1990056
    Gen   57: 1990407
    Gen   58: 1991002
    Gen   59: 1991045
    Gen   60: 1991405
    Gen   61: 1991773
    Gen   62: 1992113
    Gen   63: 1992530
    Gen   64: 1992819
    Gen   65: 1993109
    Gen   66: 1993297
    Gen   67: 1993567
    Gen   68: 1993809
    Gen   69: 1994011
    Gen   70: 1994114
    Gen   71: 1994321
    Gen   72: 1994327
    Gen   73: 1994571
    Gen   74: 1994621
    Gen   75: 1994727
    Gen   76: 1994806
    Gen   77: 1994859
    Gen   78: 1995039
    Gen   79: 1995088
    Gen   80: 1995291
    Gen   81: 1995299
    Gen   82: 1995383
    Gen   83: 1995561
    Gen   84: 1995638
    Gen   85: 1995745
    Gen   86: 1995778
    Gen   87: 1995861
    Gen   88: 1995948
    Gen   89: 1996121
