GA Hiperparametri:
  Velicina populacije: 100
  Broj generacija: 100
  Velicina turnira: 10
  Verovatnoca ukrstanja: 0.80
  Verovatnoca mutacije: 0.15
  Elitizam: 10 najboljih zadrzavano
  Broj pokretanja: 11

================================================================================
  REZULTATI SVIH POKRETANJA
================================================================================

  Pokretanje   1: 79,256 dinara  (0.53s)
  Pokretanje   2: 77,276 dinara  (0.52s)
  Pokretanje   3: 79,731 dinara  (0.52s)
  Pokretanje   4: 79,836 dinara  (0.53s)
  Pokretanje   5: 78,863 dinara  (0.52s)
  Pokretanje   6: 78,156 dinara  (0.52s)
  Pokretanje   7: 80,538 dinara  (0.52s)
  Pokretanje   8: 80,583 dinara  (0.52s)
  Pokretanje   9: 81,291 dinara  (0.52s)
  Pokretanje  10: 79,277 dinara  (0.53s)
  Pokretanje  11: 80,607 dinara  (0.53s)

================================================================================
  MEDIJANA: 79,731.0 dinara
  NAJBOLJI: 81,291 dinara
  NAJGORI:  77,276 dinara

  UKUPNO VREME:  5.76s
  PROSECNO VREME: 0.52s
================================================================================

================================================================================
  NAJBOLJI PO GENERACIJAMA
================================================================================

  Pokretanje 1:
    Gen    0: 72,156
    Gen    1: 72,222
    Gen    2: 72,853
    Gen    3: 72,853
    Gen    4: 72,967
    Gen    5: 72,967
    Gen    6: 74,805
    Gen    7: 74,877
    Gen    8: 75,189
    Gen    9: 75,199
    Gen   10: 75,236
    Gen   11: 75,249
    Gen   12: 75,456
    Gen   13: 75,524
    Gen   14: 75,752
    Gen   15: 75,774
    Gen   16: 75,891
    Gen   17: 75,981
    Gen   18: 76,051
    Gen   19: 76,252
    Gen   20: 76,369
    Gen   21: 76,407
    Gen   22: 76,489
    Gen   23: 76,569
    Gen   24: 76,619
    Gen   25: 76,719
    Gen   26: 76,843
    Gen   27: 76,963
    Gen   28: 76,963
    Gen   29: 77,005
    Gen   30: 77,005
    Gen   31: 77,045
    Gen   32: 77,052
    Gen   33: 77,052
    Gen   34: 77,052
    Gen   35: 77,070
    Gen   36: 77,130
    Gen   37: 77,148
    Gen   38: 77,148
    Gen   39: 77,148
    Gen   40: 77,148
    Gen   41: 77,154
    Gen   42: 77,154
    Gen   43: 77,154
    Gen   44: 77,154
    Gen   45: 77,154
    Gen   46: 77,163
    Gen   47: 77,163
    Gen   48: 77,423
    Gen   49: 77,433
    Gen   50: 77,460
    Gen   51: 77,460
    Gen   52: 77,460
    Gen   53: 77,460
    Gen   54: 77,460
    Gen   55: 77,460
    Gen   56: 77,460
    Gen   57: 77,523
    Gen   58: 77,523
    Gen   59: 77,523
    Gen   60: 77,764
    Gen   61: 77,809
    Gen   62: 77,831
    Gen   63: 77,831
    Gen   64: 77,831
    Gen   65: 77,831
    Gen   66: 77,895
    Gen   67: 77,903
    Gen   68: 77,905
    Gen   69: 77,913
    Gen   70: 77,913
    Gen   71: 77,913
    Gen   72: 77,913
    Gen   73: 77,913
    Gen   74: 77,913
    Gen   75: 77,967
    Gen   76: 77,969
    Gen   77: 77,969
    Gen   78: 77,969
    Gen   79: 77,969
    Gen   80: 77,969
    Gen   81: 77,969
    Gen   82: 77,969
    Gen   83: 77,969
    Gen   84: 77,969
    Gen   85: 77,969
    Gen   86: 78,073
    Gen   87: 78,073
    Gen   88: 78,449
    Gen   89: 78,453
    Gen   90: 78,502
    Gen   91: 78,622
    Gen   92: 78,652
    Gen   93: 78,792
    Gen   94: 78,936
    Gen   95: 79,066
    Gen   96: 79,194
    Gen   97: 79,194
    Gen   98: 79,256
    Gen   99: 79,256

  Pokretanje 2:
    Gen    0: 72,166
    Gen    1: 72,166
    Gen    2: 72,166
    Gen    3: 72,175
    Gen    4: 72,605
    Gen    5: 72,681
    Gen    6: 72,681
    Gen    7: 72,965
    Gen    8: 72,965
    Gen    9: 73,070
    Gen   10: 73,231
    Gen   11: 73,231
    Gen   12: 73,294
    Gen   13: 73,675
    Gen   14: 73,758
    Gen   15: 74,219
    Gen   16: 74,443
    Gen   17: 74,443
    Gen   18: 74,683
    Gen   19: 74,799
    Gen   20: 74,799
    Gen   21: 74,865
    Gen   22: 74,919
    Gen   23: 75,080
    Gen   24: 75,113
    Gen   25: 75,143
    Gen   26: 75,447
    Gen   27: 75,510
    Gen   28: 75,510
    Gen   29: 75,722
    Gen   30: 75,722
    Gen   31: 75,810
    Gen   32: 75,867
    Gen   33: 75,867
    Gen   34: 76,020
    Gen   35: 76,020
    Gen   36: 76,241
    Gen   37: 76,241
    Gen   38: 76,241
    Gen   39: 76,241
    Gen   40: 76,241
    Gen   41: 76,241
    Gen   42: 76,241
    Gen   43: 76,388
    Gen   44: 76,419
    Gen   45: 76,428
    Gen   46: 76,433
    Gen   47: 76,530
    Gen   48: 76,544
    Gen   49: 76,566
    Gen   50: 76,585
    Gen   51: 76,595
    Gen   52: 76,595
    Gen   53: 76,790
    Gen   54: 76,790
    Gen   55: 76,822
    Gen   56: 76,822
    Gen   57: 76,822
    Gen   58: 76,845
    Gen   59: 76,845
    Gen   60: 76,892
    Gen   61: 76,915
    Gen   62: 76,970
    Gen   63: 76,970
    Gen   64: 77,011
    Gen   65: 77,011
    Gen   66: 77,020
    Gen   67: 77,025
    Gen   68: 77,067
    Gen   69: 77,081
    Gen   70: 77,081
    Gen   71: 77,081
    Gen   72: 77,081
    Gen   73: 77,081
    Gen   74: 77,081
    Gen   75: 77,118
    Gen   76: 77,118
    Gen   77: 77,172
    Gen   78: 77,188
    Gen   79: 77,204
    Gen   80: 77,204
    Gen   81: 77,211
    Gen   82: 77,253
    Gen   83: 77,253
    Gen   84: 77,267
    Gen   85: 77,267
    Gen   86: 77,267
    Gen   87: 77,267
    Gen   88: 77,267
    Gen   89: 77,267
    Gen   90: 77,276
    Gen   91: 77,276
    Gen   92: 77,276
    Gen   93: 77,276
    Gen   94: 77,276
    Gen   95: 77,276
    Gen   96: 77,276
    Gen   97: 77,276
    Gen   98: 77,276
    Gen   99: 77,276

  Pokretanje 3:
    Gen    0: 71,856
    Gen    1: 71,856
    Gen    2: 71,856
    Gen    3: 72,433
    Gen    4: 72,433
    Gen    5: 72,552
    Gen    6: 72,552
    Gen    7: 72,780
    Gen    8: 74,516
    Gen    9: 74,594
    Gen   10: 74,732
    Gen   11: 74,732
    Gen   12: 75,114
    Gen   13: 75,476
    Gen   14: 75,610
    Gen   15: 75,630
    Gen   16: 75,658
    Gen   17: 75,700
    Gen   18: 75,718
    Gen   19: 75,763
    Gen   20: 76,060
    Gen   21: 76,064
    Gen   22: 76,268
    Gen   23: 76,268
    Gen   24: 76,344
    Gen   25: 76,445
    Gen   26: 76,629
    Gen   27: 76,629
    Gen   28: 76,810
    Gen   29: 76,845
    Gen   30: 76,917
    Gen   31: 76,926
    Gen   32: 76,951
    Gen   33: 76,951
    Gen   34: 77,830
    Gen   35: 77,830
    Gen   36: 77,845
    Gen   37: 77,904
    Gen   38: 77,904
    Gen   39: 77,949
    Gen   40: 78,035
