GA Hiperparametri:
  Velicina populacije: 100
  Broj generacija: 100
  Velicina turnira: 10
  Verovatnoca ukrstanja: 0.90
  Verovatnoca mutacije: 0.15
  Elitizam: 10 najboljih zadrzavano
  Broj pokretanja: 11

================================================================================
  REZULTATI SVIH POKRETANJA
================================================================================

  Pokretanje   1: 86,536 dinara  (1.17s)
  Pokretanje   2: 86,772 dinara  (1.17s)
  Pokretanje   3: 86,616 dinara  (1.18s)
  Pokretanje   4: 86,524 dinara  (1.18s)
  Pokretanje   5: 87,188 dinara  (1.18s)
  Pokretanje   6: 86,430 dinara  (1.19s)
  Pokretanje   7: 87,222 dinara  (1.19s)
  Pokretanje   8: 86,195 dinara  (1.17s)
  Pokretanje   9: 86,720 dinara  (1.22s)
  Pokretanje  10: 87,158 dinara  (1.17s)
  Pokretanje  11: 86,982 dinara  (1.18s)

================================================================================
  MEDIJANA: 86,720.0 dinara
  NAJBOLJI: 87,222 dinara
  NAJGORI:  86,195 dinara

  UKUPNO VREME:  13.00s
  PROSECNO VREME: 1.18s
================================================================================

================================================================================
  NAJBOLJI PO GENERACIJAMA
================================================================================

  Pokretanje 1:
    Gen    0: 72,243
    Gen    1: 75,626
    Gen    2: 77,811
    Gen    3: 78,524
    Gen    4: 78,895
    Gen    5: 79,212
    Gen    6: 80,141
    Gen    7: 80,368
    Gen    8: 80,714
    Gen    9: 80,988
    Gen   10: 81,145
    Gen   11: 81,310
    Gen   12: 81,622
    Gen   13: 81,660
    Gen   14: 81,721
    Gen   15: 81,775
    Gen   16: 81,775
    Gen   17: 81,942
    Gen   18: 82,080
    Gen   19: 82,594
    Gen   20: 82,598
    Gen   21: 82,869
    Gen   22: 83,028
    Gen   23: 83,050
    Gen   24: 83,834
    Gen   25: 83,925
    Gen   26: 83,943
    Gen   27: 83,947
    Gen   28: 83,953
    Gen   29: 83,957
    Gen   30: 84,200
    Gen   31: 84,220
    Gen   32: 84,220
    Gen   33: 84,220
    Gen   34: 84,265
    Gen   35: 84,273
    Gen   36: 84,273
    Gen   37: 84,273
    Gen   38: 84,273
    Gen   39: 84,273
    Gen   40: 84,273
    Gen   41: 84,672
    Gen   42: 84,672
    Gen   43: 84,871
    Gen   44: 84,871
    Gen   45: 84,972
    Gen   46: 84,972
    Gen   47: 84,990
    Gen   48: 85,275
    Gen   49: 85,275
    Gen   50: 85,340
    Gen   51: 85,352
    Gen   52: 85,612
    Gen   53: 85,612
    Gen   54: 85,643
    Gen   55: 85,643
    Gen   56: 85,643
    Gen   57: 85,643
    Gen   58: 85,643
    Gen   59: 85,645
    Gen   60: 85,645
    Gen   61: 85,645
    Gen   62: 85,645
    Gen   63: 85,645
    Gen   64: 85,652
    Gen   65: 85,848
    Gen   66: 85,855
    Gen   67: 85,855
    Gen   68: 86,048
    Gen   69: 86,048
    Gen   70: 86,048
    Gen   71: 86,049
    Gen   72: 86,049
    Gen   73: 86,077
    Gen   74: 86,099
    Gen   75: 86,133
    Gen   76: 86,134
    Gen   77: 86,134
    Gen   78: 86,134
    Gen   79: 86,134
    Gen   80: 86,134
    Gen   81: 86,134
    Gen   82: 86,144
    Gen   83: 86,144
    Gen   84: 86,144
    Gen   85: 86,145
    Gen   86: 86,221
    Gen   87: 86,221
    Gen   88: 86,231
    Gen   89: 86,231
    Gen   90: 86,231
    Gen   91: 86,290
    Gen   92: 86,290
    Gen   93: 86,290
    Gen   94: 86,473
    Gen   95: 86,484
    Gen   96: 86,526
    Gen   97: 86,530
    Gen   98: 86,532
    Gen   99: 86,536

  Pokretanje 2:
    Gen    0: 72,272
    Gen    1: 74,757
    Gen    2: 76,355
    Gen    3: 77,374
    Gen    4: 78,212
    Gen    5: 79,143
    Gen    6: 80,388
    Gen    7: 80,614
    Gen    8: 81,366
    Gen    9: 81,754
    Gen   10: 81,934
    Gen   11: 82,794
    Gen   12: 83,107
    Gen   13: 83,258
    Gen   14: 83,271
    Gen   15: 83,297
