GA Hiperparametri (C++):
  Velicina populacije: 15000
  Broj generacija: 100
  Velicina turnira: 10
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 0.15
  Elitizam: 100
  Broj pokretanja: 6

  Pokretanje 1: 19696419 dinara  (12210.04s)
  Pokretanje 2: 19689899 dinara  (12217.84s)
  Pokretanje 3: 19696956 dinara  (12226.86s)
  Pokretanje 4: 19683183 dinara  (12322.47s)
  Pokretanje 5: 19692163 dinara  (12381.86s)
  Pokretanje 6: 19690357 dinara  (12588.01s)

  PROSEK:   19691496.2
  MEDIJANA: 19691260.0
  NAJBOLJI: 19696956
  NAJGORI:  19683183
  STDEV:    4608.8
  UKUPNO VREME: 73947.1s
  PROSECNO VREME: 12324.5s

NAJBOLJI PO GENERACIJAMA

  Pokretanje 1:
    Gen    0: 17860149
    Gen    1: 18111688
    Gen    2: 18307301
    Gen    3: 18500189
    Gen    4: 18639631
    Gen    5: 18785513
    Gen    6: 18887304
    Gen    7: 18986665
    Gen    8: 19068831
    Gen    9: 19141017
    Gen   10: 19198477
    Gen   11: 19244997
    Gen   12: 19287889
    Gen   13: 19321342
    Gen   14: 19348152
    Gen   15: 19372107
    Gen   16: 19392820
    Gen   17: 19413832
    Gen   18: 19429109
    Gen   19: 19444093
    Gen   20: 19458704
    Gen   21: 19466937
    Gen   22: 19474868
    Gen   23: 19485170
    Gen   24: 19494220
    Gen   25: 19497662
    Gen   26: 19502820
    Gen   27: 19510870
    Gen   28: 19514353
    Gen   29: 19519395
    Gen   30: 19525583
    Gen   31: 19530070
    Gen   32: 19537621
    Gen   33: 19540786
    Gen   34: 19543799
    Gen   35: 19550737
    Gen   36: 19555105
    Gen   37: 19557022
    Gen   38: 19561898
    Gen   39: 19565045
    Gen   40: 19568719
    Gen   41: 19572619
    Gen   42: 19575595
    Gen   43: 19579188
    Gen   44: 19581357
    Gen   45: 19584392
    Gen   46: 19587879
    Gen   47: 19591429
    Gen   48: 19591880
    Gen   49: 19593885
    Gen   50: 19596063
    Gen   51: 19597628
    Gen   52: 19600072
    Gen   53: 19602641
    Gen   54: 19603664
    Gen   55: 19605777
    Gen   56: 19608005
    Gen   57: 19609686
    Gen   58: 19611084
    Gen   59: 19613681
    Gen   60: 19614292
    Gen   61: 19619282
    Gen   62: 19622073
    Gen   63: 19625408
    Gen   64: 19625992
    Gen   65: 19628602
    Gen   66: 19629525
    Gen   67: 19633486
    Gen   68: 19633702
    Gen   69: 19636387
    Gen   70: 19639014
    Gen   71: 19640976
    Gen   72: 19641596
    Gen   73: 19643066
    Gen   74: 19645690
    Gen   75: 19645690
    Gen   76: 19647366
    Gen   77: 19649048
    Gen   78: 19650814
    Gen   79: 19654973
    Gen   80: 19656381
    Gen   81: 19658034
    Gen   82: 19660578
    Gen   83: 19662411
    Gen   84: 19666668
    Gen   85: 19668919
    Gen   86: 19672498
    Gen   87: 19673967
    Gen   88: 19678024
    Gen   89: 19680984
    Gen   90: 19683702
    Gen   91: 19686445
    Gen   92: 19687851
    Gen   93: 19689645
    Gen   94: 19690867
    Gen   95: 19692355
    Gen   96: 19694575
    Gen   97: 19695470
    Gen   98: 19695795
    Gen   99: 19696419

  Pokretanje 2:
    Gen    0: 17852320
    Gen    1: 18122524
    Gen    2: 18310848
    Gen    3: 18481038
    Gen    4: 18638789
    Gen    5: 18769767
    Gen    6: 18882272
    Gen    7: 18989724
    Gen    8: 19063039
    Gen    9: 19134520
    Gen   10: 19197348
    Gen   11: 19244194
    Gen   12: 19286189
    Gen   13: 19323683
    Gen   14: 19352269
    Gen   15: 19378180
    Gen   16: 19401015
    Gen   17: 19417480
    Gen   18: 19436136
    Gen   19: 19449391
    Gen   20: 19463489
    Gen   21: 19473710
    Gen   22: 19481554
    Gen   23: 19488769
    Gen   24: 19497256
    Gen   25: 19504169
    Gen   26: 19509146
    Gen   27: 19516988
    Gen   28: 19520240
    Gen   29: 19527780
    Gen   30: 19531307
    Gen   31: 19536076
    Gen   32: 19540335
    Gen   33: 19545271
    Gen   34: 19549300
    Gen   35: 19552867
    Gen   36: 19556469
    Gen   37: 19562731
    Gen   38: 19563553
    Gen   39: 19565292
    Gen   40: 19568629
    Gen   41: 19570667
    Gen   42: 19573919
    Gen   43: 19577057
    Gen   44: 19579728
    Gen   45: 19584153
    Gen   46: 19587296
    Gen   47: 19591123
    Gen   48: 19594802
    Gen   49: 19600073
    Gen   50: 19600955
    Gen   51: 19603431
    Gen   52: 19606428
    Gen   53: 19607802
    Gen   54: 19609947
    Gen   55: 19612599
    Gen   56: 19613868
    Gen   57: 19615603
    Gen   58: 19617680
    Gen   59: 19619180
    Gen   60: 19621047
    Gen   61: 19621324
    Gen   62: 19623231
    Gen   63: 19624055
    Gen   64: 19627585
    Gen   65: 19629132
    Gen   66: 19632771
    Gen   67: 19636266
    Gen   68: 19640167
    Gen   69: 19644303
    Gen   70: 19648715
    Gen   71: 19648842
    Gen   72: 19653736
    Gen   73: 19653822
    Gen   74: 19653822
    Gen   75: 19655145
    Gen   76: 19655172
    Gen   77: 19656215
    Gen   78: 19657982
    Gen   79: 19658341
    Gen   80: 19660404
    Gen   81: 19660939
    Gen   82: 19663791
    Gen   83: 19663814
    Gen   84: 19664816
    Gen   85: 19666604
    Gen   86: 19668215
    Gen   87: 19671122
    Gen   88: 19671526
    Gen   89: 19674301
    Gen   90: 19676305
    Gen   91: 19677154
    Gen   92: 19678886
    Gen   93: 19680702
    Gen   94: 19683131
    Gen   95: 19684315
    Gen   96: 19685947
    Gen   97: 19687184
    Gen   98: 19688329
    Gen   99: 19689899

  Pokretanje 3:
    Gen    0: 17855791
    Gen    1: 18115798
    Gen    2: 18313820
    Gen    3: 18486705
    Gen    4: 18641250
    Gen    5: 18772482
    Gen    6: 18891350
    Gen    7: 18994232
    Gen    8: 19073653
    Gen    9: 19139804
    Gen   10: 19196895
    Gen   11: 19250471
    Gen   12: 19290310
    Gen   13: 19323001
    Gen   14: 19359699
    Gen   15: 19380074
    Gen   16: 19401595
    Gen   17: 19422492
    Gen   18: 19438926
    Gen   19: 19450510
    Gen   20: 19463944
    Gen   21: 19472323
    Gen   22: 19480231
    Gen   23: 19488239
    Gen   24: 19495550
    Gen   25: 19502980
    Gen   26: 19512306
    Gen   27: 19516976
    Gen   28: 19522847
    Gen   29: 19528527
    Gen   30: 19532959
    Gen   31: 19536971
    Gen   32: 19541209
    Gen   33: 19545181
    Gen   34: 19548793
    Gen   35: 19551749
    Gen   36: 19556413
    Gen   37: 19559343
    Gen   38: 19562019
    Gen   39: 19565400
    Gen   40: 19568972
    Gen   41: 19572264
    Gen   42: 19577760
    Gen   43: 19581709
    Gen   44: 19585583
    Gen   45: 19587472
    Gen   46: 19593114
    Gen   47: 19594582
    Gen   48: 19598337
    Gen   49: 19599149
    Gen   50: 19605384
    Gen   51: 19607984
    Gen   52: 19609923
    Gen   53: 19615423
    Gen   54: 19617696
    Gen   55: 19618372
    Gen   56: 19623765
    Gen   57: 19626981
    Gen   58: 19629353
    Gen   59: 19632294
    Gen   60: 19633846
    Gen   61: 19634242
    Gen   62: 19635926
    Gen   63: 19637995
    Gen   64: 19638241
    Gen   65: 19640207
    Gen   66: 19641339
    Gen   67: 19641951
    Gen   68: 19643646
    Gen   69: 19646150
    Gen   70: 19647947
    Gen   71: 19650435
    Gen   72: 19652838
    Gen   73: 19655096
    Gen   74: 19657564
    Gen   75: 19659413
    Gen   76: 19662320
    Gen   77: 19663185
    Gen   78: 19664862
    Gen   79: 19666951
    Gen   80: 19668744
    Gen   81: 19671294
    Gen   82: 19671867
    Gen   83: 19672493
    Gen   84: 19673848
    Gen   85: 19675470
    Gen   86: 19675470
    Gen   87: 19677017
    Gen   88: 19678078
    Gen   89: 19679033
    Gen   90: 19679804
    Gen   91: 19682227
    Gen   92: 19683598
    Gen   93: 19685814
    Gen   94: 19687846
    Gen   95: 19690911
    Gen   96: 19692824
    Gen   97: 19695048
    Gen   98: 19695299
    Gen   99: 19696956

  Pokretanje 4:
    Gen    0: 17857502
    Gen    1: 18110383
    Gen    2: 18316222
    Gen    3: 18485169
    Gen    4: 18642395
    Gen    5: 18767320
    Gen    6: 18877079
    Gen    7: 18981339
    Gen    8: 19065052
    Gen    9: 19135040
    Gen   10: 19192857
    Gen   11: 19238965
    Gen   12: 19284420
    Gen   13: 19320367
    Gen   14: 19349631
    Gen   15: 19376035
    Gen   16: 19398669
    Gen   17: 19417671
    Gen   18: 19433728
    Gen   19: 19451612
    Gen   20: 19463239
    Gen   21: 19472435
    Gen   22: 19482447
    Gen   23: 19490078
    Gen   24: 19499051
    Gen   25: 19504788
    Gen   26: 19509764
    Gen   27: 19515328
    Gen   28: 19523862
    Gen   29: 19529935
    Gen   30: 19533191
    Gen   31: 19538522
    Gen   32: 19544113
    Gen   33: 19546783
    Gen   34: 19549386
    Gen   35: 19553637
    Gen   36: 19556808
    Gen   37: 19558871
    Gen   38: 19561673
    Gen   39: 19566530
    Gen   40: 19568712
    Gen   41: 19572136
    Gen   42: 19576121
    Gen   43: 19579266
    Gen   44: 19584796
    Gen   45: 19586360
    Gen   46: 19589717
    Gen   47: 19593381
    Gen   48: 19596433
    Gen   49: 19599841
    Gen   50: 19600772
    Gen   51: 19602366
    Gen   52: 19604470
    Gen   53: 19606032
    Gen   54: 19607660
    Gen   55: 19609101
    Gen   56: 19611380
    Gen   57: 19612492
    Gen   58: 19614931
    Gen   59: 19616506
    Gen   60: 19618200
    Gen   61: 19618801
    Gen   62: 19621217
    Gen   63: 19622908
    Gen   64: 19624731
    Gen   65: 19626829
    Gen   66: 19628182
    Gen   67: 19628440
    Gen   68: 19630015
    Gen   69: 19630879
    Gen   70: 19632434
    Gen   71: 19635355
    Gen   72: 19636189
    Gen   73: 19638379
    Gen   74: 19640784
    Gen   75: 19642193
    Gen   76: 19644567
    Gen   77: 19647030
    Gen   78: 19648872
    Gen   79: 19652245
    Gen   80: 19654168
    Gen   81: 19656397
    Gen   82: 19657469
    Gen   83: 19659690
    Gen   84: 19660493
    Gen   85: 19663240
    Gen   86: 19665378
    Gen   87: 19665765
    Gen   88: 19666983
    Gen   89: 19668644
    Gen   90: 19669292
    Gen   91: 19671737
    Gen   92: 19672692
    Gen   93: 19674377
    Gen   94: 19675410
    Gen   95: 19676817
    Gen   96: 19678399
    Gen   97: 19680410
    Gen   98: 19681035
    Gen   99: 19683183

  Pokretanje 5:
    Gen    0: 17853353
    Gen    1: 18110887
    Gen    2: 18311488
    Gen    3: 18482665
    Gen    4: 18634952
    Gen    5: 18766445
    Gen    6: 18887501
    Gen    7: 18981971
    Gen    8: 19061838
    Gen    9: 19135156
    Gen   10: 19199596
    Gen   11: 19242140
    Gen   12: 19285727
    Gen   13: 19320382
    Gen   14: 19350183
    Gen   15: 19378641
    Gen   16: 19400636
    Gen   17: 19422979
    Gen   18: 19441630
    Gen   19: 19455631
    Gen   20: 19468591
    Gen   21: 19478965
    Gen   22: 19487982
    Gen   23: 19496832
    Gen   24: 19504919
    Gen   25: 19511188
    Gen   26: 19516304
    Gen   27: 19521065
    Gen   28: 19526764
    Gen   29: 19531916
    Gen   30: 19535737
    Gen   31: 19543058
    Gen   32: 19544966
    Gen   33: 19548907
    Gen   34: 19551942
    Gen   35: 19556854
    Gen   36: 19559343
    Gen   37: 19564407
    Gen   38: 19565935
    Gen   39: 19569656
    Gen   40: 19574272
    Gen   41: 19575280
    Gen   42: 19578122
    Gen   43: 19582133
    Gen   44: 19583734
    Gen   45: 19585785
    Gen   46: 19591066
    Gen   47: 19592040
    Gen   48: 19595231
    Gen   49: 19598709
    Gen   50: 19599637
    Gen   51: 19602426
    Gen   52: 19604584
    Gen   53: 19607898
    Gen   54: 19609811
    Gen   55: 19612434
    Gen   56: 19614904
    Gen   57: 19617614
    Gen   58: 19618268
    Gen   59: 19620732
    Gen   60: 19621801
    Gen   61: 19623710
    Gen   62: 19627055
    Gen   63: 19629328
    Gen   64: 19630856
    Gen   65: 19634100
    Gen   66: 19635412
    Gen   67: 19636663
    Gen   68: 19639087
    Gen   69: 19639645
    Gen   70: 19641277
    Gen   71: 19642553
    Gen   72: 19643737
    Gen   73: 19645752
    Gen   74: 19646945
    Gen   75: 19649355
    Gen   76: 19649774
    Gen   77: 19651108
    Gen   78: 19652573
    Gen   79: 19654349
    Gen   80: 19655571
    Gen   81: 19658833
    Gen   82: 19660668
    Gen   83: 19662368
    Gen   84: 19664089
    Gen   85: 19665017
    Gen   86: 19667473
    Gen   87: 19668934
    Gen   88: 19669960
    Gen   89: 19672126
    Gen   90: 19672479
    Gen   91: 19674020
    Gen   92: 19674334
    Gen   93: 19676939
    Gen   94: 19678475
    Gen   95: 19680821
    Gen   96: 19682882
    Gen   97: 19684112
    Gen   98: 19688026
    Gen   99: 19692163

  Pokretanje 6:
