GA Hiperparametri:
  Velicina populacije: 1000
  Broj generacija: 100
  Velicina turnira: 10
  Verovatnoca ukrstanja: 0.80
  Verovatnoca mutacije: 0.15
  Elitizam: 10 najboljih zadrzavano
  Broj pokretanja: 1

================================================================================
  REZULTATI SVIH POKRETANJA
================================================================================

  Pokretanje   1: 19,560,796 dinara  (25237.68s)

================================================================================
  MEDIJANA: 19,560,796.0 dinara
  NAJBOLJI: 19,560,796 dinara
  NAJGORI:  19,560,796 dinara

  UKUPNO VREME:  25237.68s
  PROSECNO VREME: 25237.68s
================================================================================

================================================================================
  NAJBOLJI PO GENERACIJAMA
================================================================================

  Pokretanje 1:
    Gen    0: 17,846,395
    Gen    1: 18,081,480
    Gen    2: 18,270,816
    Gen    3: 18,436,934
    Gen    4: 18,599,321
    Gen    5: 18,728,153
    Gen    6: 18,843,715
    Gen    7: 18,942,806
    Gen    8: 19,022,492
    Gen    9: 19,093,082
    Gen   10: 19,164,238
    Gen   11: 19,211,638
    Gen   12: 19,253,197
    Gen   13: 19,290,949
    Gen   14: 19,321,920
    Gen   15: 19,350,732
    Gen   16: 19,369,909
    Gen   17: 19,392,297
    Gen   18: 19,408,113
    Gen   19: 19,419,287
    Gen   20: 19,429,765
    Gen   21: 19,437,328
    Gen   22: 19,444,205
    Gen   23: 19,451,136
    Gen   24: 19,456,966
    Gen   25: 19,462,535
    Gen   26: 19,465,960
    Gen   27: 19,470,992
    Gen   28: 19,474,459
    Gen   29: 19,476,031
    Gen   30: 19,481,272
    Gen   31: 19,484,330
    Gen   32: 19,485,753
    Gen   33: 19,488,732
    Gen   34: 19,490,975
    Gen   35: 19,492,549
    Gen   36: 19,494,448
    Gen   37: 19,495,856
    Gen   38: 19,497,588
    Gen   39: 19,501,101
    Gen   40: 19,502,661
    Gen   41: 19,505,321
    Gen   42: 19,507,072
    Gen   43: 19,508,997
    Gen   44: 19,511,021
    Gen   45: 19,511,178
    Gen   46: 19,512,208
    Gen   47: 19,514,184
    Gen   48: 19,516,144
    Gen   49: 19,516,869
    Gen   50: 19,518,652
    Gen   51: 19,519,005
    Gen   52: 19,519,821
    Gen   53: 19,520,557
    Gen   54: 19,521,055
    Gen   55: 19,522,544
    Gen   56: 19,524,123
    Gen   57: 19,524,484
    Gen   58: 19,525,131
    Gen   59: 19,525,892
    Gen   60: 19,526,600
    Gen   61: 19,528,520
    Gen   62: 19,529,306
    Gen   63: 19,530,506
    Gen   64: 19,531,414
    Gen   65: 19,531,821
    Gen   66: 19,532,693
    Gen   67: 19,532,948
    Gen   68: 19,533,286
    Gen   69: 19,534,035
    Gen   70: 19,535,073
    Gen   71: 19,536,962
    Gen   72: 19,537,533
    Gen   73: 19,538,393
    Gen   74: 19,539,143
    Gen   75: 19,539,697
    Gen   76: 19,539,954
    Gen   77: 19,540,245
    Gen   78: 19,541,239
    Gen   79: 19,543,239
    Gen   80: 19,543,746
    Gen   81: 19,544,319
    Gen   82: 19,544,620
    Gen   83: 19,545,071
    Gen   84: 19,550,744
    Gen   85: 19,551,132
    Gen   86: 19,552,051
    Gen   87: 19,552,381
    Gen   88: 19,552,846
    Gen   89: 19,553,444
    Gen   90: 19,554,127
    Gen   91: 19,554,906
    Gen   92: 19,555,618
    Gen   93: 19,555,686
    Gen   94: 19,556,110
    Gen   95: 19,556,286
    Gen   96: 19,557,264
    Gen   97: 19,558,643
    Gen   98: 19,558,884
    Gen   99: 19,560,796
