GA Hiperparametri (C++):
  Velicina populacije: 20000
  Broj generacija: 100
  Velicina turnira: 20
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 0.15
  Elitizam: 200
  Broj pokretanja: 3

  Pokretanje 1: 19718498 dinara  (15742.92s)
  Pokretanje 2: 19724152 dinara  (15499.09s)
  Pokretanje 3: 19713883 dinara  (15540.52s)

  PROSEK:   19718844.3
  MEDIJANA: 19718498.0
  NAJBOLJI: 19724152
  NAJGORI:  19713883
  STDEV:    4199.4
  UKUPNO VREME: 46782.5s
  PROSECNO VREME: 15594.2s

NAJBOLJI PO GENERACIJAMA

  Pokretanje 1:
    Gen    0: 17858839
    Gen    1: 18112002
    Gen    2: 18320125
    Gen    3: 18505061
    Gen    4: 18654958
    Gen    5: 18786719
    Gen    6: 18904114
    Gen    7: 18999488
    Gen    8: 19086503
    Gen    9: 19154989
    Gen   10: 19211366
    Gen   11: 19258041
    Gen   12: 19296924
    Gen   13: 19332795
    Gen   14: 19360971
    Gen   15: 19386555
    Gen   16: 19409770
    Gen   17: 19425196
    Gen   18: 19441131
    Gen   19: 19453675
    Gen   20: 19465075
    Gen   21: 19473634
    Gen   22: 19482892
    Gen   23: 19490934
    Gen   24: 19498658
    Gen   25: 19505166
    Gen   26: 19512827
    Gen   27: 19518259
    Gen   28: 19524801
    Gen   29: 19529557
    Gen   30: 19534234
    Gen   31: 19539711
    Gen   32: 19545534
    Gen   33: 19547099
    Gen   34: 19550797
    Gen   35: 19552488
    Gen   36: 19556212
    Gen   37: 19560301
    Gen   38: 19564259
    Gen   39: 19570991
    Gen   40: 19575146
    Gen   41: 19578691
    Gen   42: 19583514
    Gen   43: 19588059
    Gen   44: 19590282
    Gen   45: 19594111
    Gen   46: 19597040
    Gen   47: 19600228
    Gen   48: 19604118
    Gen   49: 19607455
    Gen   50: 19610071
    Gen   51: 19611968
    Gen   52: 19614027
    Gen   53: 19617423
    Gen   54: 19620970
    Gen   55: 19623967
    Gen   56: 19627329
    Gen   57: 19628665
    Gen   58: 19630850
    Gen   59: 19632865
    Gen   60: 19633548
    Gen   61: 19636599
    Gen   62: 19638274
    Gen   63: 19640689
    Gen   64: 19643148
    Gen   65: 19645303
    Gen   66: 19647383
    Gen   67: 19649781
    Gen   68: 19653265
    Gen   69: 19655829
    Gen   70: 19658744
    Gen   71: 19663280
    Gen   72: 19665559
    Gen   73: 19667234
    Gen   74: 19669083
    Gen   75: 19670019
    Gen   76: 19672369
    Gen   77: 19673367
    Gen   78: 19675087
    Gen   79: 19676567
    Gen   80: 19677897
    Gen   81: 19679932
    Gen   82: 19683893
    Gen   83: 19685938
    Gen   84: 19688747
    Gen   85: 19692194
    Gen   86: 19694381
    Gen   87: 19694491
    Gen   88: 19696215
    Gen   89: 19697339
    Gen   90: 19699887
    Gen   91: 19701974
    Gen   92: 19704325
    Gen   93: 19709006
    Gen   94: 19709961
    Gen   95: 19711637
    Gen   96: 19713186
    Gen   97: 19714461
    Gen   98: 19716485
    Gen   99: 19718498

  Pokretanje 2:
    Gen    0: 17853782
    Gen    1: 18114464
    Gen    2: 18311801
    Gen    3: 18500909
    Gen    4: 18652471
    Gen    5: 18792864
    Gen    6: 18908066
    Gen    7: 19002638
    Gen    8: 19085120
    Gen    9: 19152730
    Gen   10: 19213990
    Gen   11: 19270166
    Gen   12: 19305917
    Gen   13: 19340961
    Gen   14: 19369847
    Gen   15: 19395073
    Gen   16: 19414135
    Gen   17: 19434254
    Gen   18: 19450420
    Gen   19: 19461326
    Gen   20: 19472110
    Gen   21: 19481389
    Gen   22: 19491128
    Gen   23: 19497298
    Gen   24: 19505443
    Gen   25: 19513396
    Gen   26: 19518196
    Gen   27: 19526678
    Gen   28: 19530117
    Gen   29: 19536519
    Gen   30: 19539433
    Gen   31: 19545313
    Gen   32: 19553864
    Gen   33: 19559054
    Gen   34: 19564576
    Gen   35: 19569431
    Gen   36: 19572925
    Gen   37: 19576776
    Gen   38: 19580597
    Gen   39: 19584959
    Gen   40: 19588931
    Gen   41: 19591569
    Gen   42: 19595941
    Gen   43: 19597977
    Gen   44: 19600942
    Gen   45: 19603174
    Gen   46: 19607216
    Gen   47: 19611137
    Gen   48: 19613387
    Gen   49: 19615751
    Gen   50: 19618534
    Gen   51: 19620767
    Gen   52: 19622155
    Gen   53: 19625057
    Gen   54: 19627290
    Gen   55: 19632111
    Gen   56: 19634026
    Gen   57: 19637862
    Gen   58: 19641902
    Gen   59: 19645286
    Gen   60: 19648699
    Gen   61: 19649939
    Gen   62: 19652010
    Gen   63: 19654103
    Gen   64: 19656368
    Gen   65: 19658346
    Gen   66: 19660624
    Gen   67: 19664522
    Gen   68: 19667114
    Gen   69: 19670155
    Gen   70: 19672793
    Gen   71: 19675548
    Gen   72: 19677407
    Gen   73: 19678407
    Gen   74: 19679623
    Gen   75: 19680921
    Gen   76: 19682827
    Gen   77: 19683688
    Gen   78: 19685319
    Gen   79: 19687752
    Gen   80: 19689136
    Gen   81: 19691413
    Gen   82: 19692903
    Gen   83: 19694194
    Gen   84: 19696480
    Gen   85: 19698862
    Gen   86: 19701311
    Gen   87: 19702814
    Gen   88: 19704694
    Gen   89: 19705713
    Gen   90: 19707871
    Gen   91: 19711435
    Gen   92: 19712698
    Gen   93: 19715398
    Gen   94: 19716923
    Gen   95: 19719732
    Gen   96: 19720819
    Gen   97: 19721914
    Gen   98: 19722879
    Gen   99: 19724152

  Pokretanje 3:
    Gen    0: 17855723
    Gen    1: 18117482
    Gen    2: 18309087
    Gen    3: 18492942
