GA Hiperparametri (C++):
  Velicina populacije: 1000
  Broj generacija: 100
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 0.05
  Elitizam: 30
  Broj pokretanja: 15

  Pokretanje 1: 87777 dinara  (0.06s)
  Pokretanje 2: 87922 dinara  (0.04s)
  Pokretanje 3: 88170 dinara  (0.04s)
  Pokretanje 4: 87849 dinara  (0.04s)
  Pokretanje 5: 88068 dinara  (0.04s)
  Pokretanje 6: 87909 dinara  (0.04s)
  Pokretanje 7: 88028 dinara  (0.04s)
  Pokretanje 8: 88032 dinara  (0.04s)
  Pokretanje 9: 88052 dinara  (0.04s)
  Pokretanje 10: 87862 dinara  (0.04s)
  Pokretanje 11: 87742 dinara  (0.04s)
  Pokretanje 12: 88335 dinara  (0.04s)
  Pokretanje 13: 87877 dinara  (0.04s)
  Pokretanje 14: 88066 dinara  (0.04s)
  Pokretanje 15: 88036 dinara  (0.04s)

  PROSEK:   87981.7
  MEDIJANA: 88028.0
  NAJBOLJI: 88335
  NAJGORI:  87742
  STDEV:    150.2
  UKUPNO VREME: 0.6s
  PROSECNO VREME: 0.0s

NAJBOLJI PO GENERACIJAMA

  Pokretanje 1:
    Gen    0: 72895
    Gen    1: 76224
    Gen    2: 78517
    Gen    3: 78878
    Gen    4: 80413
    Gen    5: 80840
    Gen    6: 81393
    Gen    7: 81609
    Gen    8: 82053
    Gen    9: 82304
    Gen   10: 82435
    Gen   11: 82933
    Gen   12: 83188
    Gen   13: 83212
    Gen   14: 83348
    Gen   15: 83447
    Gen   16: 83880
    Gen   17: 84176
    Gen   18: 84306
    Gen   19: 84504
    Gen   20: 84815
    Gen   21: 84932
    Gen   22: 84932
    Gen   23: 84992
    Gen   24: 85132
    Gen   25: 85135
    Gen   26: 85189
    Gen   27: 85244
    Gen   28: 85324
    Gen   29: 85518
    Gen   30: 85523
    Gen   31: 85667
    Gen   32: 85667
    Gen   33: 85995
    Gen   34: 85995
    Gen   35: 86057
    Gen   36: 86109
    Gen   37: 86147
    Gen   38: 86178
    Gen   39: 86243
    Gen   40: 86247
    Gen   41: 86262
    Gen   42: 86304
    Gen   43: 86311
    Gen   44: 86357
    Gen   45: 86402
    Gen   46: 86444
    Gen   47: 86474
    Gen   48: 86740
    Gen   49: 86744
    Gen   50: 86749
    Gen   51: 86779
    Gen   52: 86779
    Gen   53: 86824
    Gen   54: 86859
    Gen   55: 86872
    Gen   56: 86893
    Gen   57: 86905
    Gen   58: 86945
    Gen   59: 86963
    Gen   60: 87001
    Gen   61: 87023
    Gen   62: 87028
    Gen   63: 87160
    Gen   64: 87162
    Gen   65: 87191
    Gen   66: 87219
    Gen   67: 87230
    Gen   68: 87334
    Gen   69: 87355
    Gen   70: 87388
    Gen   71: 87390
    Gen   72: 87419
    Gen   73: 87431
    Gen   74: 87452
    Gen   75: 87462
    Gen   76: 87488
    Gen   77: 87523
    Gen   78: 87581
    Gen   79: 87599
    Gen   80: 87631
    Gen   81: 87633
    Gen   82: 87640
    Gen   83: 87656
    Gen   84: 87665
    Gen   85: 87674
    Gen   86: 87714
    Gen   87: 87714
    Gen   88: 87726
    Gen   89: 87729
    Gen   90: 87735
    Gen   91: 87735
    Gen   92: 87745
    Gen   93: 87753
    Gen   94: 87753
    Gen   95: 87765
    Gen   96: 87765
    Gen   97: 87770
    Gen   98: 87774
    Gen   99: 87777

  Pokretanje 2:
    Gen    0: 73227
    Gen    1: 77270
    Gen    2: 77590
    Gen    3: 79431
    Gen    4: 80353
    Gen    5: 80531
    Gen    6: 81434
    Gen    7: 81434
    Gen    8: 81849
    Gen    9: 82434
    Gen   10: 82956
    Gen   11: 83095
    Gen   12: 83511
    Gen   13: 83597
    Gen   14: 83961
    Gen   15: 84163
    Gen   16: 84361
    Gen   17: 84574
    Gen   18: 84795
    Gen   19: 84861
    Gen   20: 85212
    Gen   21: 85293
    Gen   22: 85300
    Gen   23: 85418
    Gen   24: 85506
    Gen   25: 85531
    Gen   26: 85611
    Gen   27: 85928
    Gen   28: 85949
    Gen   29: 86025
    Gen   30: 86111
    Gen   31: 86207
    Gen   32: 86231
    Gen   33: 86426
    Gen   34: 86426
    Gen   35: 86464
    Gen   36: 86561
    Gen   37: 86629
    Gen   38: 86698
    Gen   39: 86751
    Gen   40: 86776
    Gen   41: 86786
    Gen   42: 86847
    Gen   43: 86847
    Gen   44: 86898
    Gen   45: 86906
    Gen   46: 86992
    Gen   47: 87024
    Gen   48: 87033
    Gen   49: 87041
    Gen   50: 87093
    Gen   51: 87112
    Gen   52: 87166
    Gen   53: 87166
    Gen   54: 87193
    Gen   55: 87209
    Gen   56: 87277
    Gen   57: 87291
    Gen   58: 87307
    Gen   59: 87346
    Gen   60: 87347
    Gen   61: 87359
    Gen   62: 87371
    Gen   63: 87414
    Gen   64: 87421
    Gen   65: 87423
    Gen   66: 87469
    Gen   67: 87480
    Gen   68: 87514
    Gen   69: 87516
    Gen   70: 87539
    Gen   71: 87563
    Gen   72: 87576
    Gen   73: 87579
    Gen   74: 87667
    Gen   75: 87708
    Gen   76: 87722
    Gen   77: 87736
    Gen   78: 87744
    Gen   79: 87753
    Gen   80: 87766
    Gen   81: 87770
    Gen   82: 87779
    Gen   83: 87785
    Gen   84: 87787
    Gen   85: 87789
    Gen   86: 87809
    Gen   87: 87809
    Gen   88: 87827
    Gen   89: 87827
    Gen   90: 87828
    Gen   91: 87828
    Gen   92: 87828
    Gen   93: 87828
    Gen   94: 87831
    Gen   95: 87832
    Gen   96: 87922
    Gen   97: 87922
    Gen   98: 87922
    Gen   99: 87922

  Pokretanje 3:
    Gen    0: 73482
    Gen    1: 76474
    Gen    2: 78652
    Gen    3: 79316
    Gen    4: 80132
