GA Hiperparametri (C++):
  Velicina populacije: 1000
  Broj generacija: 100
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 0.15
  Elitizam: 30
  Broj pokretanja: 15

  Pokretanje 1: 88356 dinara  (0.05s)
  Pokretanje 2: 88425 dinara  (0.04s)
  Pokretanje 3: 88231 dinara  (0.04s)
  Pokretanje 4: 88106 dinara  (0.04s)
  Pokretanje 5: 88380 dinara  (0.04s)
  Pokretanje 6: 88445 dinara  (0.04s)
  Pokretanje 7: 88336 dinara  (0.04s)
  Pokretanje 8: 87994 dinara  (0.04s)
  Pokretanje 9: 88227 dinara  (0.04s)
  Pokretanje 10: 88357 dinara  (0.04s)
  Pokretanje 11: 88410 dinara  (0.04s)
  Pokretanje 12: 88130 dinara  (0.04s)
  Pokretanje 13: 88389 dinara  (0.04s)
  Pokretanje 14: 88400 dinara  (0.04s)
  Pokretanje 15: 88053 dinara  (0.04s)

  PROSEK:   88282.6
  MEDIJANA: 88356.0
  NAJBOLJI: 88445
  NAJGORI:  87994
  STDEV:    143.2
  UKUPNO VREME: 0.6s
  PROSECNO VREME: 0.0s

NAJBOLJI PO GENERACIJAMA

  Pokretanje 1:
    Gen    0: 73001
    Gen    1: 75738
    Gen    2: 78035
    Gen    3: 78842
    Gen    4: 79460
    Gen    5: 80026
    Gen    6: 80882
    Gen    7: 82174
    Gen    8: 82353
    Gen    9: 83255
    Gen   10: 83649
    Gen   11: 84192
    Gen   12: 84644
    Gen   13: 84818
    Gen   14: 84818
    Gen   15: 85046
    Gen   16: 85315
    Gen   17: 85349
    Gen   18: 85715
    Gen   19: 85722
    Gen   20: 85755
    Gen   21: 85825
    Gen   22: 85945
    Gen   23: 86065
    Gen   24: 86156
    Gen   25: 86284
    Gen   26: 86479
    Gen   27: 86502
    Gen   28: 86557
    Gen   29: 86626
    Gen   30: 86737
    Gen   31: 86750
    Gen   32: 86930
    Gen   33: 87012
    Gen   34: 87024
    Gen   35: 87058
    Gen   36: 87136
    Gen   37: 87194
    Gen   38: 87235
    Gen   39: 87301
    Gen   40: 87326
    Gen   41: 87363
    Gen   42: 87435
    Gen   43: 87482
    Gen   44: 87530
    Gen   45: 87558
    Gen   46: 87574
    Gen   47: 87621
    Gen   48: 87653
    Gen   49: 87679
    Gen   50: 87703
    Gen   51: 87726
    Gen   52: 87738
    Gen   53: 87739
    Gen   54: 87750
    Gen   55: 87751
    Gen   56: 87843
    Gen   57: 87843
    Gen   58: 87865
    Gen   59: 87871
    Gen   60: 87903
    Gen   61: 87928
    Gen   62: 87947
    Gen   63: 87949
    Gen   64: 88008
    Gen   65: 88008
    Gen   66: 88036
    Gen   67: 88049
    Gen   68: 88075
    Gen   69: 88082
    Gen   70: 88088
    Gen   71: 88091
    Gen   72: 88127
    Gen   73: 88144
    Gen   74: 88149
    Gen   75: 88175
    Gen   76: 88176
    Gen   77: 88204
    Gen   78: 88212
    Gen   79: 88212
    Gen   80: 88220
    Gen   81: 88228
    Gen   82: 88231
    Gen   83: 88238
    Gen   84: 88245
    Gen   85: 88253
    Gen   86: 88278
    Gen   87: 88288
    Gen   88: 88296
    Gen   89: 88307
    Gen   90: 88309
    Gen   91: 88312
    Gen   92: 88312
    Gen   93: 88317
    Gen   94: 88322
    Gen   95: 88325
    Gen   96: 88337
    Gen   97: 88337
    Gen   98: 88353
    Gen   99: 88356

  Pokretanje 2:
    Gen    0: 73322
    Gen    1: 75780
    Gen    2: 77908
    Gen    3: 78913
    Gen    4: 80512
    Gen    5: 81795
    Gen    6: 81810
    Gen    7: 82641
    Gen    8: 83213
    Gen    9: 83515
    Gen   10: 83537
    Gen   11: 84044
    Gen   12: 84130
    Gen   13: 84831
    Gen   14: 84902
    Gen   15: 84912
    Gen   16: 84981
    Gen   17: 85154
    Gen   18: 85276
    Gen   19: 85400
    Gen   20: 85561
    Gen   21: 85674
    Gen   22: 85762
    Gen   23: 86001
    Gen   24: 86137
    Gen   25: 86178
    Gen   26: 86235
    Gen   27: 86483
    Gen   28: 86511
    Gen   29: 86647
    Gen   30: 86737
    Gen   31: 86981
    Gen   32: 87008
    Gen   33: 87020
    Gen   34: 87036
    Gen   35: 87079
    Gen   36: 87180
    Gen   37: 87180
    Gen   38: 87305
    Gen   39: 87336
    Gen   40: 87394
    Gen   41: 87590
    Gen   42: 87590
    Gen   43: 87612
    Gen   44: 87678
    Gen   45: 87685
    Gen   46: 87721
    Gen   47: 87726
    Gen   48: 87757
    Gen   49: 87757
    Gen   50: 87795
    Gen   51: 87817
    Gen   52: 87885
    Gen   53: 87919
    Gen   54: 87926
    Gen   55: 87936
    Gen   56: 87955
    Gen   57: 87975
    Gen   58: 87991
    Gen   59: 88002
    Gen   60: 88021
    Gen   61: 88049
    Gen   62: 88058
    Gen   63: 88070
    Gen   64: 88081
    Gen   65: 88130
    Gen   66: 88148
    Gen   67: 88148
    Gen   68: 88164
    Gen   69: 88167
    Gen   70: 88186
    Gen   71: 88187
    Gen   72: 88197
    Gen   73: 88198
    Gen   74: 88208
    Gen   75: 88227
    Gen   76: 88227
    Gen   77: 88240
    Gen   78: 88260
    Gen   79: 88272
    Gen   80: 88276
    Gen   81: 88284
    Gen   82: 88286
    Gen   83: 88336
    Gen   84: 88340
    Gen   85: 88340
    Gen   86: 88351
    Gen   87: 88351
    Gen   88: 88351
    Gen   89: 88356
    Gen   90: 88361
    Gen   91: 88365
    Gen   92: 88371
    Gen   93: 88390
    Gen   94: 88402
    Gen   95: 88406
    Gen   96: 88415
    Gen   97: 88415
    Gen   98: 88419
    Gen   99: 88425

  Pokretanje 3:
    Gen    0: 72740
    Gen    1: 75799
    Gen    2: 77878
    Gen    3: 79020
    Gen    4: 79291
    Gen    5: 80814
    Gen    6: 81054
    Gen    7: 82095
    Gen    8: 82176
    Gen    9: 82511
    Gen   10: 83087
    Gen   11: 83402
    Gen   12: 83561
    Gen   13: 83694
    Gen   14: 83971
    Gen   15: 84089
    Gen   16: 84460
    Gen   17: 84698
    Gen   18: 85037
    Gen   19: 85083
    Gen   20: 85248
    Gen   21: 85449
    Gen   22: 85668
    Gen   23: 85711
    Gen   24: 86006
    Gen   25: 86031
    Gen   26: 86128
    Gen   27: 86186
    Gen   28: 86451
    Gen   29: 86472
    Gen   30: 86528
    Gen   31: 86577
    Gen   32: 86629
    Gen   33: 86713
    Gen   34: 86793
    Gen   35: 86839
    Gen   36: 86906
    Gen   37: 87115
    Gen   38: 87135
    Gen   39: 87222
    Gen   40: 87238
    Gen   41: 87255
    Gen   42: 87269
    Gen   43: 87284
    Gen   44: 87336
    Gen   45: 87361
    Gen   46: 87395
    Gen   47: 87467
    Gen   48: 87467
    Gen   49: 87542
    Gen   50: 87561
    Gen   51: 87594
    Gen   52: 87600
    Gen   53: 87676
    Gen   54: 87676
    Gen   55: 87676
    Gen   56: 87696
    Gen   57: 87697
    Gen   58: 87712
    Gen   59: 87742
    Gen   60: 87767
    Gen   61: 87804
    Gen   62: 87841
    Gen   63: 87880
    Gen   64: 87899
    Gen   65: 87899
    Gen   66: 87907
    Gen   67: 87934
    Gen   68: 87950
    Gen   69: 87970
    Gen   70: 87978
    Gen   71: 87984
    Gen   72: 87999
    Gen   73: 88011
    Gen   74: 88011
    Gen   75: 88030
    Gen   76: 88047
    Gen   77: 88066
    Gen   78: 88077
    Gen   79: 88084
    Gen   80: 88086
    Gen   81: 88090
    Gen   82: 88092
    Gen   83: 88096
    Gen   84: 88103
    Gen   85: 88111
    Gen   86: 88118
    Gen   87: 88126
    Gen   88: 88142
    Gen   89: 88151
    Gen   90: 88168
    Gen   91: 88175
    Gen   92: 88183
    Gen   93: 88199
    Gen   94: 88205
    Gen   95: 88205
    Gen   96: 88221
    Gen   97: 88221
    Gen   98: 88228
    Gen   99: 88231

  Pokretanje 4:
    Gen    0: 73490
    Gen    1: 75915
    Gen    2: 77646
    Gen    3: 78982
    Gen    4: 80070
    Gen    5: 80458
    Gen    6: 82127
    Gen    7: 82547
    Gen    8: 83045
    Gen    9: 83563
    Gen   10: 83776
    Gen   11: 83946
    Gen   12: 84146
    Gen   13: 84319
    Gen   14: 84549
    Gen   15: 84732
    Gen   16: 84903
    Gen   17: 84980
    Gen   18: 85188
    Gen   19: 85226
    Gen   20: 85258
    Gen   21: 85496
    Gen   22: 85578
    Gen   23: 86131
    Gen   24: 86142
    Gen   25: 86213
    Gen   26: 86279
    Gen   27: 86320
    Gen   28: 86402
    Gen   29: 86602
    Gen   30: 86664
    Gen   31: 86697
    Gen   32: 86887
    Gen   33: 86891
    Gen   34: 86928
    Gen   35: 87068
    Gen   36: 87068
    Gen   37: 87123
    Gen   38: 87141
    Gen   39: 87151
    Gen   40: 87195
    Gen   41: 87199
    Gen   42: 87232
    Gen   43: 87302
    Gen   44: 87306
    Gen   45: 87383
    Gen   46: 87462
    Gen   47: 87499
    Gen   48: 87505
    Gen   49: 87524
    Gen   50: 87530
    Gen   51: 87572
    Gen   52: 87601
    Gen   53: 87613
    Gen   54: 87637
    Gen   55: 87669
    Gen   56: 87669
    Gen   57: 87717
    Gen   58: 87730
    Gen   59: 87736
    Gen   60: 87767
    Gen   61: 87782
    Gen   62: 87791
    Gen   63: 87811
    Gen   64: 87822
    Gen   65: 87844
    Gen   66: 87877
    Gen   67: 87877
    Gen   68: 87877
    Gen   69: 87888
    Gen   70: 87898
    Gen   71: 87909
    Gen   72: 87914
    Gen   73: 87927
    Gen   74: 87932
    Gen   75: 87933
    Gen   76: 87936
    Gen   77: 87949
    Gen   78: 87961
    Gen   79: 87990
    Gen   80: 87990
    Gen   81: 87996
    Gen   82: 87998
    Gen   83: 88012
    Gen   84: 88013
    Gen   85: 88018
    Gen   86: 88034
    Gen   87: 88034
    Gen   88: 88034
    Gen   89: 88034
    Gen   90: 88038
    Gen   91: 88039
    Gen   92: 88060
    Gen   93: 88060
    Gen   94: 88063
    Gen   95: 88077
    Gen   96: 88077
    Gen   97: 88090
    Gen   98: 88104
    Gen   99: 88106

  Pokretanje 5:
    Gen    0: 72892
    Gen    1: 76122
    Gen    2: 77831
    Gen    3: 78594
    Gen    4: 79990
    Gen    5: 80857
    Gen    6: 81449
    Gen    7: 81962
    Gen    8: 82322
    Gen    9: 82650
    Gen   10: 83281
    Gen   11: 83686
    Gen   12: 83686
    Gen   13: 83938
    Gen   14: 84096
    Gen   15: 84611
    Gen   16: 84821
    Gen   17: 84841
    Gen   18: 85017
    Gen   19: 85173
    Gen   20: 85570
    Gen   21: 85570
    Gen   22: 85766
    Gen   23: 85979
    Gen   24: 86295
    Gen   25: 86299
    Gen   26: 86500
    Gen   27: 86549
    Gen   28: 86576
    Gen   29: 86704
    Gen   30: 86818
    Gen   31: 86835
    Gen   32: 86906
    Gen   33: 86972
    Gen   34: 87105
    Gen   35: 87151
    Gen   36: 87167
    Gen   37: 87206
    Gen   38: 87237
    Gen   39: 87258
    Gen   40: 87292
    Gen   41: 87329
    Gen   42: 87329
    Gen   43: 87370
    Gen   44: 87431
    Gen   45: 87467
    Gen   46: 87537
    Gen   47: 87545
    Gen   48: 87581
    Gen   49: 87652
    Gen   50: 87662
    Gen   51: 87759
    Gen   52: 87771
    Gen   53: 87781
    Gen   54: 87837
    Gen   55: 87837
    Gen   56: 87894
    Gen   57: 87923
    Gen   58: 87932
    Gen   59: 87964
    Gen   60: 88025
    Gen   61: 88034
    Gen   62: 88062
    Gen   63: 88066
    Gen   64: 88066
    Gen   65: 88072
    Gen   66: 88102
    Gen   67: 88102
    Gen   68: 88102
    Gen   69: 88121
