GA Hiperparametri (C++):
  Velicina populacije: 1000
  Broj generacija: 100
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 0.15
  Elitizam: 30
  Broj pokretanja: 15

  Pokretanje 1: 88387 dinara  (0.07s)
  Pokretanje 2: 88454 dinara  (0.05s)
  Pokretanje 3: 88451 dinara  (0.04s)
  Pokretanje 4: 88332 dinara  (0.04s)
  Pokretanje 5: 88220 dinara  (0.04s)
  Pokretanje 6: 88253 dinara  (0.04s)
  Pokretanje 7: 88120 dinara  (0.04s)
  Pokretanje 8: 88317 dinara  (0.04s)
  Pokretanje 9: 88329 dinara  (0.04s)
  Pokretanje 10: 88323 dinara  (0.04s)
  Pokretanje 11: 88436 dinara  (0.04s)
  Pokretanje 12: 88250 dinara  (0.04s)
  Pokretanje 13: 88156 dinara  (0.04s)
  Pokretanje 14: 88224 dinara  (0.04s)
  Pokretanje 15: 88233 dinara  (0.04s)

  PROSEK:   88299.0
  MEDIJANA: 88317.0
  NAJBOLJI: 88454
  NAJGORI:  88120
  STDEV:    99.9
  UKUPNO VREME: 0.7s
  PROSECNO VREME: 0.0s

NAJBOLJI PO GENERACIJAMA

  Pokretanje 1:
    Gen    0: 72673
    Gen    1: 75624
    Gen    2: 77253
    Gen    3: 78609
    Gen    4: 79770
    Gen    5: 80544
    Gen    6: 81394
    Gen    7: 82236
    Gen    8: 83232
    Gen    9: 83407
    Gen   10: 83818
    Gen   11: 84189
    Gen   12: 84212
    Gen   13: 84377
    Gen   14: 84462
    Gen   15: 84580
    Gen   16: 84790
    Gen   17: 84978
    Gen   18: 85141
    Gen   19: 85470
    Gen   20: 85680
    Gen   21: 85781
    Gen   22: 85825
    Gen   23: 86002
    Gen   24: 86198
    Gen   25: 86277
    Gen   26: 86377
    Gen   27: 86396
    Gen   28: 86436
    Gen   29: 86452
    Gen   30: 86516
    Gen   31: 86567
    Gen   32: 86671
    Gen   33: 86691
    Gen   34: 86790
    Gen   35: 86811
    Gen   36: 86875
    Gen   37: 86955
    Gen   38: 87031
    Gen   39: 87074
    Gen   40: 87152
    Gen   41: 87319
    Gen   42: 87319
    Gen   43: 87371
    Gen   44: 87371
    Gen   45: 87388
    Gen   46: 87417
    Gen   47: 87436
    Gen   48: 87485
    Gen   49: 87501
    Gen   50: 87548
    Gen   51: 87556
    Gen   52: 87614
    Gen   53: 87650
    Gen   54: 87700
    Gen   55: 87713
    Gen   56: 87755
    Gen   57: 87767
    Gen   58: 87792
    Gen   59: 87822
    Gen   60: 87894
    Gen   61: 87966
    Gen   62: 87966
    Gen   63: 87970
    Gen   64: 87978
    Gen   65: 88035
    Gen   66: 88047
    Gen   67: 88052
    Gen   68: 88095
    Gen   69: 88106
    Gen   70: 88110
    Gen   71: 88122
    Gen   72: 88160
    Gen   73: 88164
    Gen   74: 88181
    Gen   75: 88186
    Gen   76: 88212
    Gen   77: 88224
    Gen   78: 88224
    Gen   79: 88238
    Gen   80: 88248
    Gen   81: 88248
    Gen   82: 88261
    Gen   83: 88262
    Gen   84: 88270
    Gen   85: 88274
    Gen   86: 88286
    Gen   87: 88298
    Gen   88: 88299
    Gen   89: 88311
    Gen   90: 88329
    Gen   91: 88330
    Gen   92: 88348
    Gen   93: 88350
    Gen   94: 88366
    Gen   95: 88378
    Gen   96: 88378
    Gen   97: 88382
    Gen   98: 88382
    Gen   99: 88387

  Pokretanje 2:
    Gen    0: 72628
    Gen    1: 75237
    Gen    2: 76770
    Gen    3: 79551
    Gen    4: 79811
    Gen    5: 81070
    Gen    6: 81416
    Gen    7: 82412
    Gen    8: 82826
    Gen    9: 83142
    Gen   10: 84089
    Gen   11: 84366
    Gen   12: 84519
    Gen   13: 84551
    Gen   14: 84762
    Gen   15: 85029
    Gen   16: 85029
    Gen   17: 85399
    Gen   18: 85578
    Gen   19: 85734
    Gen   20: 85736
    Gen   21: 85949
    Gen   22: 86088
    Gen   23: 86109
    Gen   24: 86130
    Gen   25: 86451
    Gen   26: 86454
    Gen   27: 86487
    Gen   28: 86523
    Gen   29: 86688
    Gen   30: 86690
    Gen   31: 86823
    Gen   32: 86900
    Gen   33: 87001
    Gen   34: 87011
    Gen   35: 87122
    Gen   36: 87122
    Gen   37: 87143
    Gen   38: 87364
    Gen   39: 87371
    Gen   40: 87398
    Gen   41: 87427
    Gen   42: 87498
    Gen   43: 87541
    Gen   44: 87563
    Gen   45: 87597
    Gen   46: 87668
    Gen   47: 87683
    Gen   48: 87722
    Gen   49: 87745
    Gen   50: 87778
    Gen   51: 87803
    Gen   52: 87841
    Gen   53: 87895
    Gen   54: 87895
    Gen   55: 87951
    Gen   56: 87963
    Gen   57: 87998
    Gen   58: 87998
    Gen   59: 88005
    Gen   60: 88020
    Gen   61: 88035
    Gen   62: 88042
    Gen   63: 88076
    Gen   64: 88094
    Gen   65: 88111
    Gen   66: 88130
    Gen   67: 88139
    Gen   68: 88164
    Gen   69: 88165
    Gen   70: 88181
    Gen   71: 88196
    Gen   72: 88206
    Gen   73: 88217
    Gen   74: 88251
    Gen   75: 88251
    Gen   76: 88264
    Gen   77: 88268
    Gen   78: 88273
    Gen   79: 88286
    Gen   80: 88286
    Gen   81: 88291
    Gen   82: 88319
    Gen   83: 88319
    Gen   84: 88321
    Gen   85: 88337
    Gen   86: 88351
    Gen   87: 88354
    Gen   88: 88361
    Gen   89: 88382
    Gen   90: 88383
    Gen   91: 88385
    Gen   92: 88393
    Gen   93: 88401
    Gen   94: 88406
    Gen   95: 88425
    Gen   96: 88426
    Gen   97: 88439
    Gen   98: 88445
    Gen   99: 88454

  Pokretanje 3:
    Gen    0: 72673
    Gen    1: 75342
    Gen    2: 77889
    Gen    3: 79203
    Gen    4: 81104
    Gen    5: 81499
    Gen    6: 82639
    Gen    7: 82886
    Gen    8: 83258
    Gen    9: 83470
    Gen   10: 83557
    Gen   11: 83923
    Gen   12: 84146
    Gen   13: 84462
    Gen   14: 84865
    Gen   15: 84980
    Gen   16: 85165
    Gen   17: 85598
    Gen   18: 85615
    Gen   19: 85709
    Gen   20: 85880
    Gen   21: 85951
    Gen   22: 86083
    Gen   23: 86222
    Gen   24: 86639
    Gen   25: 86641
    Gen   26: 86686
    Gen   27: 86714
    Gen   28: 86841
    Gen   29: 86841
    Gen   30: 86936
    Gen   31: 86991
    Gen   32: 87062
    Gen   33: 87068
    Gen   34: 87166
    Gen   35: 87253
    Gen   36: 87320
    Gen   37: 87406
    Gen   38: 87552
    Gen   39: 87573
    Gen   40: 87585
    Gen   41: 87595
    Gen   42: 87632
    Gen   43: 87641
    Gen   44: 87722
    Gen   45: 87722
    Gen   46: 87724
    Gen   47: 87742
