GA Hiperparametri (C++):
  Velicina populacije: 100
  Broj generacija: 1000
  Velicina turnira: 3
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 0.15
  Elitizam: 3
  Broj pokretanja: 15

  Pokretanje 1: 88420 dinara  (0.06s)
  Pokretanje 2: 88073 dinara  (0.04s)
  Pokretanje 3: 88123 dinara  (0.03s)
  Pokretanje 4: 87952 dinara  (0.03s)
  Pokretanje 5: 88140 dinara  (0.03s)
  Pokretanje 6: 88227 dinara  (0.03s)
  Pokretanje 7: 88241 dinara  (0.03s)
  Pokretanje 8: 87903 dinara  (0.03s)
  Pokretanje 9: 88057 dinara  (0.03s)
  Pokretanje 10: 87912 dinara  (0.03s)
  Pokretanje 11: 88056 dinara  (0.03s)
  Pokretanje 12: 88304 dinara  (0.03s)
  Pokretanje 13: 88029 dinara  (0.03s)
  Pokretanje 14: 88080 dinara  (0.03s)
  Pokretanje 15: 88172 dinara  (0.03s)

  PROSEK:   88112.6
  MEDIJANA: 88080.0
  NAJBOLJI: 88420
  NAJGORI:  87903
  STDEV:    139.3
  UKUPNO VREME: 0.5s
  PROSECNO VREME: 0.0s

NAJBOLJI PO GENERACIJAMA

  Pokretanje 1:
    Gen    0: 72567
    Gen    1: 74205
    Gen    2: 76923
    Gen    3: 77364
    Gen    4: 78159
    Gen    5: 79162
    Gen    6: 79224
    Gen    7: 79688
    Gen    8: 80077
    Gen    9: 80535
    Gen   10: 80779
    Gen   11: 81091
    Gen   12: 81624
    Gen   13: 81635
    Gen   14: 81730
    Gen   15: 82508
    Gen   16: 82804
    Gen   17: 83049
    Gen   18: 83270
    Gen   19: 83278
    Gen   20: 83412
    Gen   21: 83568
    Gen   22: 83568
    Gen   23: 83605
    Gen   24: 83616
    Gen   25: 83666
    Gen   26: 83731
    Gen   27: 83757
    Gen   28: 84217
    Gen   29: 84217
    Gen   30: 84248
    Gen   31: 84327
    Gen   32: 84327
    Gen   33: 84390
    Gen   34: 84399
    Gen   35: 84404
    Gen   36: 84688
    Gen   37: 84703
    Gen   38: 84703
    Gen   39: 84835
    Gen   40: 84863
    Gen   41: 84910
    Gen   42: 84976
    Gen   43: 84989
    Gen   44: 85020
    Gen   45: 85037
    Gen   46: 85037
    Gen   47: 85095
    Gen   48: 85095
    Gen   49: 85095
    Gen   50: 85095
    Gen   51: 85103
    Gen   52: 85103
    Gen   53: 85111
    Gen   54: 85120
    Gen   55: 85323
    Gen   56: 85323
    Gen   57: 85350
    Gen   58: 85378
    Gen   59: 85378
    Gen   60: 85378
    Gen   61: 85490
    Gen   62: 85510
    Gen   63: 85510
    Gen   64: 85521
    Gen   65: 85531
    Gen   66: 85538
    Gen   67: 85538
    Gen   68: 85622
    Gen   69: 85622
    Gen   70: 85626
    Gen   71: 85636
