run,generation,evaluations,best_fitness
1,0,20000,17854707
1,1,40000,17854707
1,2,60000,17854707
1,3,80000,17856036
1,4,100000,17856036
1,5,120000,17856036
1,6,140000,17856036
1,7,160000,17856036
1,8,180000,17856036
1,9,200000,17856592
1,10,220000,17857241
1,11,240000,17857241
1,12,260000,17857241
1,13,280000,17857241
1,14,300000,17857241
1,15,320000,17857241
1,16,340000,17857241
1,17,360000,17864312
1,18,380000,17864312
1,19,400000,17864312
1,20,420000,17864312
1,21,440000,17864312
1,22,460000,17864312
1,23,480000,17864312
1,24,500000,17864312
1,25,520000,17864312
1,26,540000,17864312
1,27,560000,17864312
1,28,580000,17864312
1,29,600000,17864312
1,30,620000,17864312
1,31,640000,17864312
1,32,660000,17864312
1,33,680000,17864312
1,34,700000,17864312
1,35,720000,17864312
1,36,740000,17864312
1,37,760000,17864312
1,38,780000,17864312
1,39,800000,17864312
1,40,820000,17864312
1,41,840000,17864312
1,42,860000,17864312
1,43,880000,17864312
1,44,900000,17864312
1,45,920000,17864312
1,46,940000,17864312
1,47,960000,17864312
1,48,980000,17864312
1,49,1000000,17864312
1,50,1020000,17864312
1,51,1040000,17864312
1,52,1060000,17864312
1,53,1080000,17864312
1,54,1100000,17864312
1,55,1120000,17864312
1,56,1140000,17864312
1,57,1160000,17864312
1,58,1180000,17864312
1,59,1200000,17864312
1,60,1220000,17864312
1,61,1240000,17864312
1,62,1260000,17864312
1,63,1280000,17864312
1,64,1300000,17864312
1,65,1320000,17864312
1,66,1340000,17864312
1,67,1360000,17864312
1,68,1380000,17864312
1,69,1400000,17864312
1,70,1420000,17864312
1,71,1440000,17864312
1,72,1460000,17864312
1,73,1480000,17864312
1,74,1500000,17864312
1,75,1520000,17864312
1,76,1540000,17864312
1,77,1560000,17864312
1,78,1580000,17864312
1,79,1600000,17864312
1,80,1620000,17864312
1,81,1640000,17864312
1,82,1660000,17864312
1,83,1680000,17864312
1,84,1700000,17864312
1,85,1720000,17864312
1,86,1740000,17864312
1,87,1760000,17864312
1,88,1780000,17864312
1,89,1800000,17864312
1,90,1820000,17864312
1,91,1840000,17864312
1,92,1860000,17864312
1,93,1880000,17864312
1,94,1900000,17864312
1,95,1920000,17864312
1,96,1940000,17864312
1,97,1960000,17864312
1,98,1980000,17864312
1,99,2000000,17864312
