elapsed_sec,rss_mb,vsz_mb
0,3382.2,493482.9
2,3382.6,493482.9
4,3635.0,493482.9
6,3982.8,493482.9
8,3762.5,493482.9
10,3935.6,493482.9
12,3962.0,493482.9
14,3842.2,493482.9
16,4364.0,493482.9
18,4130.7,493482.9
20,4111.6,493482.9
22,4024.1,493482.9
24,4026.8,493482.9
26,4323.6,493482.9
28,4817.6,493482.9
30,4840.7,493482.9
32,4886.0,493482.9
34,4886.6,493482.9
36,4873.4,493482.9
38,4891.4,493482.9
40,4899.4,493482.9
42,4879.0,493482.9
44,4856.3,493482.9
47,4784.3,493482.9
49,4749.6,493482.9
51,4759.6,493482.9
53,4818.9,493482.9
55,4747.3,493482.9
57,4711.9,493482.9
59,4586.0,493482.9
61,4563.8,493482.9
63,4519.7,493482.9
65,4465.2,493482.9
67,4361.9,493482.9
69,4317.4,493482.9
71,4288.5,493482.9
73,4253.5,493482.9
75,4286.5,493482.9
77,4274.9,493482.9
79,4145.2,493482.9
81,4162.7,493482.9
83,4042.9,493482.9
85,4011.9,493482.9
87,3964.9,493482.9
89,3902.0,493482.9
91,3874.3,493482.9
93,3911.1,493482.9
95,3872.6,493482.9
97,3921.2,493482.9
99,3914.5,493482.9
101,3863.5,493482.9
103,3869.4,493482.9
105,3809.5,493482.9
107,3696.9,493482.9
109,3695.7,493482.9
111,3653.6,493482.9
113,3753.1,493482.9
116,3916.5,493482.9
118,4002.9,493482.9
120,4008.6,493482.9
122,4001.4,493482.9
124,4026.4,493482.9
126,3914.9,493482.9
128,4286.2,493482.9
130,4210.5,493482.9
132,4181.0,493482.9
134,4207.1,493482.9
136,4267.2,493482.9
138,4911.5,493482.9
140,4810.9,493482.9
142,4688.6,493482.9
144,4722.2,493482.9
146,4704.8,493482.9
148,4820.9,493482.9
150,4784.0,493482.9
152,4863.8,493482.9
154,4855.1,493482.9
156,4843.4,493482.9
158,4899.1,493482.9
160,4920.9,493482.9
162,4903.6,493482.9
164,4844.5,493482.9
166,4753.1,493482.9
168,4679.7,493482.9
170,4641.2,493482.9
172,4607.1,493482.9
174,4542.4,493482.9
176,4456.4,493482.9
178,4386.3,493482.9
180,4335.1,493482.9
183,4281.7,493482.9
185,4293.2,493482.9
187,4241.9,493482.9
189,4155.9,493482.9
191,4087.6,493482.9
193,4041.6,493482.9
195,4086.4,493482.9
197,4088.4,493482.9
199,3975.3,493482.9
201,3982.4,493482.9
203,3896.1,493482.9
205,3915.5,493482.9
207,3839.7,493482.9
209,3759.1,493482.9
211,3743.4,493482.9
213,3735.5,493482.9
215,3686.5,493482.9
217,3691.3,493482.9
219,3673.6,493482.9
221,3564.2,493482.9
223,3580.3,493482.9
225,4039.0,493482.9
227,3849.8,493482.9
229,3902.1,493482.9
231,3883.7,493482.9
233,3798.4,493482.9
235,3977.1,493482.9
237,4297.8,493482.9
239,4197.5,493482.9
241,4179.6,493482.9
243,4127.9,493482.9
245,4254.4,493482.9
247,4842.0,493482.9
250,4880.3,493482.9
252,4888.6,493482.9
254,4861.4,493482.9
256,4897.5,493482.9
258,4918.3,493482.9
260,4823.2,493482.9
262,4789.6,493482.9
264,4659.8,493482.9
266,4696.4,493482.9
268,4796.2,493482.9
270,4699.2,493482.9
272,4753.2,493482.9
274,4671.3,493482.9
276,4567.1,493482.9
278,4458.4,493482.9
280,4436.1,493482.9
282,4397.8,493482.9
284,4292.7,493482.9
286,4353.9,493482.9
288,4297.6,493482.9
290,4232.9,493482.9
292,4274.5,493482.9
294,4222.1,493482.9
296,4196.3,493482.9
298,4135.6,493482.9
300,4040.0,493482.9
302,4014.9,493482.9
304,3929.6,493482.9
306,3960.7,493482.9
308,3913.7,493482.9
310,3899.0,493482.9
312,3875.7,493482.9
314,3850.0,493482.9
317,3859.1,493482.9
319,3712.8,493482.9
321,3687.8,493482.9
323,3649.0,493482.9
325,3580.0,493482.9
327,3564.1,493482.9
329,3504.1,493482.9
331,3497.2,493482.9
333,3582.1,493482.9
335,3923.1,493482.9
337,3936.4,493482.9
339,4071.6,493482.9
341,4091.5,493482.9
343,4037.4,493482.9
345,3987.0,493482.9
347,4270.0,493482.9
349,4300.8,493482.9
